sample	contig	bgc_candidate_id	product_activity	protein_id	gene_start	gene_end	pfam_id	protein_id_1	clan	pfam	family	description	taxid	taxonomy
SRR6145058	k99_10206	k99_10206_1-1815.1	antibacterial	k99_10206_k99_10206_1	1	754	PF05690	0.69192	CL0036	TIM_barrel	ThiG	Thiazole biosynthesis protein ThiG	1747	Cutibacterium acnes
SRR6145058	k99_10206	k99_10206_1-1815.1	antibacterial	k99_10206_k99_10206_2	750	1020	PF02597	0.6023	CL0072	Ubiquitin	ThiS	ThiS family	1747	Cutibacterium acnes
SRR6145058	k99_10206	k99_10206_1-1815.1	antibacterial	k99_10206_k99_10206_3	1026	1815	PF01266	0.69305	CL0063	NADP_Rossmann	DAO	FAD dependent oxidoreductase	1747	Cutibacterium acnes
SRR6145058	k99_3276	k99_3276_732-1782.1	inhibitor	k99_3276_k99_3276_3	732	1782	PF16912	0.53114	CL0063	NADP_Rossmann	Glu_dehyd_C	Glucose dehydrogenase C-terminus	1234380	Cutibacterium acnes C1
SRR6145058	k99_3276	k99_3276_732-1782.1	inhibitor	k99_3276_k99_3276_3	732	1782	PF13602	0.55435	CL0063	NADP_Rossmann	ADH_zinc_N_2	Zinc-binding dehydrogenase	1234380	Cutibacterium acnes C1
SRR6145058	k99_3276	k99_3276_732-1782.1	inhibitor	k99_3276_k99_3276_3	732	1782	PF00107	0.56486	CL0063	NADP_Rossmann	ADH_zinc_N	Zinc-binding dehydrogenase	1234380	Cutibacterium acnes C1
SRR6145058	k99_3276	k99_3276_732-1782.1	inhibitor	k99_3276_k99_3276_3	732	1782	PF01266	0.55692	CL0063	NADP_Rossmann	DAO	FAD dependent oxidoreductase	1234380	Cutibacterium acnes C1
SRR6145058	k99_3276	k99_3276_732-1782.1	inhibitor	k99_3276_k99_3276_3	732	1782	PF08240	0.5397	CL0296	GroES	ADH_N	Alcohol dehydrogenase GroES-like domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_10774	k99_10774_2-1054.1	antibacterial	k99_10774_k99_10774_1	2	419	PF01613	0.7958	CL0336	FMN-binding	Flavin_Reduct	Flavin reductase like domain	1747	Cutibacterium acnes
SRR6145058	k99_10774	k99_10774_2-1054.1	antibacterial	k99_10774_k99_10774_2	484	1054	PF00274	0.77433	CL0035	Peptidase_MH	Glycolytic	Fructose-bisphosphate aldolase class-I	1747	Cutibacterium acnes
SRR6145058	k99_5041	k99_5041_146-2325.1	antibacterial	k99_5041_k99_5041_1	146	1076	PF00326	0.64304	CL0028	AB_hydrolase	Peptidase_S9	Prolyl oligopeptidase family	1747	Cutibacterium acnes
SRR6145058	k99_5041	k99_5041_146-2325.1	antibacterial	k99_5041_k99_5041_1	146	1076	PF07859	0.64353	CL0028	AB_hydrolase	Abhydrolase_3	alpha/beta hydrolase fold	1747	Cutibacterium acnes
SRR6145058	k99_5041	k99_5041_146-2325.1	antibacterial	k99_5041_k99_5041_1	146	1076	PF00135	0.64404	CL0028	AB_hydrolase	COesterase	Carboxylesterase family	1747	Cutibacterium acnes
SRR6145058	k99_5041	k99_5041_146-2325.1	antibacterial	k99_5041_k99_5041_1	146	1076	PF10340	0.60811	CL0028	AB_hydrolase	Say1_Mug180	Steryl acetyl hydrolase	1747	Cutibacterium acnes
SRR6145058	k99_5041	k99_5041_146-2325.1	antibacterial	k99_5041_k99_5041_2	1077	2325	PF07690	0.60316	CL0015	MFS	MFS_1	Major Facilitator Superfamily	1747	Cutibacterium acnes
