sample	contig	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids	taxid	name
SRR6145058	k99_10206	deepbgc	0.1.0	deepbgc	k99_10206_1-1815.1	1	1815	1814	3	3	1	0.66242	antibacterial	0.71	0.09	0.23	0.25	NA	0.06	0.08	0.13	0.36	0.12	0.03	0.28	k99_10206_k99_10206_1;k99_10206_k99_10206_2;k99_10206_k99_10206_3	PF01266	PF05690;PF02597;PF01266	1747	Cutibacterium acnes
SRR6145058	k99_3276	deepbgc	0.1.0	deepbgc	k99_3276_732-1782.1	732	1782	1050	1	5	3	0.54939	inhibitor	0.27	0.08	0.64	0.06	Polyketide	0.01	0.18	0.1	0.7	0.02	0.03	0.03	k99_3276_k99_3276_3	PF08240;PF00107;PF01266	PF16912;PF13602;PF00107;PF01266;PF08240	1234380	Cutibacterium acnes C1
SRR6145058	k99_10774	deepbgc	0.1.0	deepbgc	k99_10774_2-1054.1	2	1054	1052	2	2	0	0.78506	antibacterial	0.88	0.06	0.16	0.26	NA	0	0.1	0.09	0.33	0.19	0.03	0.31	k99_10774_k99_10774_1;k99_10774_k99_10774_2	NA	PF01613;PF00274	1747	Cutibacterium acnes
SRR6145058	k99_5041	deepbgc	0.1.0	deepbgc	k99_5041_146-2325.1	146	2325	2179	2	7	0	0.61091	antibacterial	0.63	0.11	0.18	0.36	Polyketide	0.03	0.02	0.2	0.65	0.04	0	0.07	k99_5041_k99_5041_1;k99_5041_k99_5041_2	NA	PF00326;PF07859;PF00135;PF10340;PF07690;PF13347;PF11700	1747	Cutibacterium acnes
SRR6145058	k99_8005	deepbgc	0.1.0	deepbgc	k99_8005_1-1285.1	1	1285	1284	1	1	0	0.61863	antibacterial	0.8	0.04	0.16	0.46	Polyketide	0	0	0.01	0.92	0.01	0.01	0.05	k99_8005_k99_8005_1	NA	PF07690	1747	Cutibacterium acnes
SRR6145058	k99_5796	deepbgc	0.1.0	deepbgc	k99_5796_638-1148.1	638	1148	510	1	5	3	0.53562	antibacterial	0.82	0.06	0.17	0.33	Polyketide	0	0	0.01	0.79	0.01	0.01	0.19	k99_5796_k99_5796_2	PF08659;PF01370;PF00106	PF00106;PF08659;PF01370;PF13561;PF13460	1747	Cutibacterium acnes
SRR6145058	k99_1386	deepbgc	0.1.0	deepbgc	k99_1386_0-621.1	0	621	621	1	1	0	0.52589	antibacterial	0.6	0.03	0.37	0.16	NA	0	0.37	0.11	0.4	0.13	0.01	0.17	k99_1386_k99_1386_1	NA	PF01212	1747	Cutibacterium acnes
SRR6145058	k99_7371	deepbgc	0.1.0	deepbgc	k99_7371_1-1290.1	1	1290	1289	2	2	0	0.62822	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_7371_k99_7371_1;k99_7371_k99_7371_2	NA	PF00115;PF00116	1747	Cutibacterium acnes
SRR6145058	k99_6742	deepbgc	0.1.0	deepbgc	k99_6742_842-2056.1	842	2056	1214	2	2	0	0.53107	antibacterial	0.83	0.12	0.13	0.2	NA	0	0.08	0.07	0.32	0.26	0.03	0.29	k99_6742_k99_6742_2;k99_6742_k99_6742_3	NA	PF02517;PF01557	1747	Cutibacterium acnes
SRR6145058	k99_6745	deepbgc	0.1.0	deepbgc	k99_6745_2-2428.1	2	2428	2426	4	8	0	0.70007	antibacterial	0.8	0.15	0.08	0.22	NA	0.01	0.07	0.06	0.35	0.35	0.01	0.18	k99_6745_k99_6745_1;k99_6745_k99_6745_2;k99_6745_k99_6745_3;k99_6745_k99_6745_4	NA	PF02518;PF00072;PF08281;PF00196;PF04545;PF14493;PF00300;PF03186	1747	Cutibacterium acnes
